isbn,rating,book_title,book_author,year_of_publication,publisher,img_l,Summary,Language,Category
0812544293,0,The Sword and the Eye,Justin Leiber,1985.0,Tor Books (Mm),http://images.amazon.com/images/P/0812544293.01.LZZZZZZZ.jpg,"The last prince of the House of Eigin, disguised as the kitchen serf
Kinch, aided by a magical sword and a fierce giant cat, waits for the
day of retribution, when his fury will be unleashed on the invader
Sorgun, Lord of Lothia, and the ...",en,['Fiction']
0812544390,7,Joshua's Hammer,David Hagberg,2001.0,Tor Books,http://images.amazon.com/images/P/0812544390.01.LZZZZZZZ.jpg,"CIA agent Kirk McGarvey faces the toughest challenge of his career
when Islamic terrorist Osama bin Laden obtains a nuclear demolition
bomb and McGarvey must find out where, when, and how it will be
detonated. Reprint.",en,['Fiction']
0812544404,2,Eden's Gate,David Hagberg,2002.0,Forge,http://images.amazon.com/images/P/0812544404.01.LZZZZZZZ.jpg,"German authorities enlist the aid of U.S. authorities, including
former NSA operative Bill Lane and his wife, Frances Shipley, to find
ex-Stasi Captain Helmut Speyer before he and his ruthless associates
can find the infamous Nazi bunker ...",en,['Fiction']
0812544412,8,Angel Light: An Old-Fashioned Love Story,Andrew M. Greeley,1996.0,Tor Books (Mm),http://images.amazon.com/images/P/0812544412.01.LZZZZZZZ.jpg,"Based on the Old Testament&#39;s Book of Tobias, an uplifting love
story by the author of White Smoke features a computer programmer who
is helped by a modern guardian angel to find his perfect mate.
Reprint.",en,['Fiction']
0812544420,9,Summer at the Lake (Mysteries & Horror),Andrew M. Greeley,1998.0,Forge,http://images.amazon.com/images/P/0812544420.01.LZZZZZZZ.jpg,". . Until thirty years later when Leo, still obsessed by the memory of
Jane and the need to solve the mystery of what really happened that
fateful summer, comes back to Chicago and back to the lake.",en,['Fiction']
0812544439,10,Contract with an Angel,Andrew M. Greeley,2004.0,Tor Books,http://images.amazon.com/images/P/0812544439.01.LZZZZZZZ.jpg,"Millionaire media mogul Raymond Neenan can&#39;t believe his ears--or
his eyes. the seat next to him, empty for the whole flight, now barely
contains a huge man who looks a lot like Chicago Bulls superstar
Michael Jordan.",en,['Fiction']
0812544501,10,Tam Lin (The Fairy Tale Series),Pamela Dean,1992.0,Tor Books (Mm),http://images.amazon.com/images/P/0812544501.01.LZZZZZZZ.jpg,"This Scottish-based tale for adults offers a pregnant heroine who must
rescue the man who seduced her in the woods from his captor, the
Fairie Queen",en,['Fiction']
0812544528,0,Mortal Kombat: A Novel,Martin Delrio,1995.0,Tor Books,http://images.amazon.com/images/P/0812544528.01.LZZZZZZZ.jpg,"Once every generation, the tournament is held: the ultimate martial
arts competition in which mortal warriors must fight against many
supernatural opponents to defend the earth from evil forces.",en,['Fiction']
0812544544,0,Mighty Morphin Power Rangers: The Movie Storybook (Mighty Morphin Power Rangers),Tony Oliver,1995.0,Tor Books,http://images.amazon.com/images/P/0812544544.01.LZZZZZZZ.jpg,"Ivan Ooze, an evil sorcerer, takes over Angel Grove and destroys the
source of the Power Rangers power.",en,['Adventure and adventurers']
0812544595,8,The Two Georges: The Novel of an Alternate America (Two Georges),Richard Dreyfuss,1997.0,Tom Doherty Associates,http://images.amazon.com/images/P/0812544595.01.LZZZZZZZ.jpg,"A story of murder, intrigue, and a stolen painting portrays America as
it might have been, had George Washington surrendered to George III",en,['Fiction']
0812544609,8,The Ganymede Club (Ganymede Club),Charles Sheffield,1996.0,Tor Books (Mm),http://images.amazon.com/images/P/0812544609.01.LZZZZZZZ.jpg,"In the years following the Great War and the death of half the human
race, Lola Belman, a therapist on Ganymede, meets a patient whose past
is a mystery, and a dangerous group will stop at nothing to keep Lola
from exploring the past and ...",en,['Fiction']
0812544617,0,Brian Boru : Emperor of the Irish (Celtic World of Morgan Llywelyn),Morgan Llywelyn,1997.0,Tor Books,http://images.amazon.com/images/P/0812544617.01.LZZZZZZZ.jpg,"Recounts the life of the legendary Brian Boru, who defended his
country against invading Vikings, reconciled Ireland&#39;s warring
clans, and became the first High King of Ireland",en,['Fiction']
0812544641,0,Chicago Blues (Larry Cole),Hugh Holton,1997.0,Forge Books,http://images.amazon.com/images/P/0812544641.01.LZZZZZZZ.jpg,"Police Commander Larry Cole returns in his most dangerous case to
date. the investigation of the murders of two hit-men leads Cole to an
old colleague, FBI Special Agent Reggie Stanton.",en,['Fiction']
0812544684,0,Waltzing in Ragtime,Eileen Charbonneau,1997.0,Forge,http://images.amazon.com/images/P/0812544684.01.LZZZZZZZ.jpg,"At the turn of the 20th century, in San Francisco, Olana Whittaker is
struggling to make it on her own as a journalist for the &quot;Gold
Coast Chronicle&quot;.",en,['Fiction']
0812544706,9,Implant,F. Paul Wilson,1996.0,Tor Books,http://images.amazon.com/images/P/0812544706.01.LZZZZZZZ.jpg,"Dr. Gina Panzella, the young prote+a7ge+a7 of famed plastic surgeon
Dr. Duncan Lathram, begins to suspect that there is something sinister
--and deadly--about Dr. Lathram&#39;s miraculous new implant. Reprint.",en,['Fiction']
0812544714,8,Scandal,Joanna Elm,1996.0,Tor Books,http://images.amazon.com/images/P/0812544714.01.LZZZZZZZ.jpg,"When a former talk show diva is murdered, tabloid reporter Kitty
Fitzgerald pulls out all the stops to interview the victim&#39;s
inmate son, but her investigations threaten her with scandal and the
loss of her new boyfriend",en,['Fiction']
0812544722,10,The Rock Child,Win Blevins,1999.0,Forge,http://images.amazon.com/images/P/0812544722.01.LZZZZZZZ.jpg,"Each is on the run--Asie toward his heritage and the secret of his
&quot;Rock Child&quot; name, Sun Moon from her captors, in particular
the fanatical &quot;Destroying Angel&quot; of Mormondon, Porter
Rockwell.",en,['Fiction']
0812544730,7,Oaths and Miracles,Nancy Kress,1997.0,Tor Books (Mm),http://images.amazon.com/images/P/0812544730.01.LZZZZZZZ.jpg,"The widow of a murdered scientist and an unstable FBI agent join
forces on a trail of science and death that leads them from a biotech
company to a paramilitary splinter group to a religious commune.
Reprint.",en,['Fiction']
0812544749,0,Beggar's Ride (Beggars Trilogy (Paperback)),Nancy Kress,1997.0,Tor Books,http://images.amazon.com/images/P/0812544749.01.LZZZZZZZ.jpg,"This conclusion to the Beggars Trilogy follows the donkeys--
genetically modified humans who require sleep but not food, medicine,
or a government--as they seek pleasure drugs, religions, and other
diversions",en,['Fiction']
0812545125,8,The Third Magic (Forever King Trilogy),Molly Cochran,2004.0,Tor Books,http://images.amazon.com/images/P/0812545125.01.LZZZZZZZ.jpg,"In a third installment of the series that began with The Forever King
and The Broken Sword, a modern-day Arthur endeavors to claim his long-
awaited destiny, despite the workings of Guinevere, whose connection
with the Holy Grail forces him ...",en,['Fiction']
0812545133,8,The Broken Sword: The Return of King Arthur,Molly Cochran,1998.0,Tor Books,http://images.amazon.com/images/P/0812545133.01.LZZZZZZZ.jpg,"Interweaving present-day events and flashbacks to Camelot, an
imaginative story recasts an array of Arthurian elements into a
mythology in which Knights learn to cope with twentieth-century
reality, while a a young Arthur and a teenage girl ...",en,['Fiction']
0812545141,9,Island of Ghosts,Gillian Bradshaw,1999.0,Tor Books,http://images.amazon.com/images/P/0812545141.01.LZZZZZZZ.jpg,"Unsurprisingly, the Sarmatians hate Britain--an Island of Ghosts,
filled with pale faces, stone walls, and an uneasy past. Struggling to
command his own people to defend a land they despise, Ariantes is
accepted by all, but trusted by none.",en,['Fiction']
0812545222,0,Embassy Row: A Mycroft Holmes Novel (Mycroft Holmes Novels (Paperback)),Quinn Fawcett,1999.0,Tor Books,http://images.amazon.com/images/P/0812545222.01.LZZZZZZZ.jpg,"Mycroft Holmes, Sherlock Holmes&#39;s older brother, finds himself
embroiled in a mystery involving secret British negotiations with the
Japanese and the murder of a British diplomat. Reprint. PW.",en,['Fiction']
0812545230,0,Against the Brotherhood: A Mycroft Holmes Novel (Mycroft Holmes Novels (Paperback)),Quinn Fawcett,1998.0,Tor Books,http://images.amazon.com/images/P/0812545230.01.LZZZZZZZ.jpg,"The mysterious brother acknowledged by Sherlock himself as the smarter
of the two and gifted with great powers of observation, Mycroft
Holmes, who appears in only four stories in the Sherlockian Canon,
confronts his own mystery in a tale of ...",en,['Fiction']
0812545249,10,The Chronoliths,Robert Charles Wilson,2002.0,Tor Books,http://images.amazon.com/images/P/0812545249.01.LZZZZZZZ.jpg,"But some strange loop of causality keeps drawing him in, to the
central mystery and a final battle with the future. The Chronoliths is
a 2002 Hugo Award Nominee for Best Novel and the winner of the 2002
John W. Campbell Memorial Award.",en,['Fiction']
0812545265,5,Secret Realms,Tom Cool,1999.0,Tor Books,http://images.amazon.com/images/P/0812545265.01.LZZZZZZZ.jpg,"In the first half of the next century, a band of warriors is raised
from infancy in ignorance of the real world, raised in a virtual-
reality environment of endless battle where they grow into superb
soldiers.",en,['Fiction']
0812545273,0,Justinian,H. N. Turtletaub,1999.0,Tor Books,http://images.amazon.com/images/P/0812545273.01.LZZZZZZZ.jpg,"Born to the throne of Byzantium--the new Rome--Justinian II was
determined to bow to no man.",en,['Fiction']
0812545281,5,Choices,Abigail Reed,1999.0,Tor Books (Mm),http://images.amazon.com/images/P/0812545281.01.LZZZZZZZ.jpg,"Three pregnant women at a health clinic share their struggles and
their feelings as they cope with the complications of their
pregnancies, lives and loves.",en,['Fiction']
081254532X,0,Gene Roddenberry's Earth: Final Conflict--Requiem For Boone (Earth: Final Conflict),Debra Doyle,2001.0,Tor Books,http://images.amazon.com/images/P/081254532X.01.LZZZZZZZ.jpg,"Now it is revealed: from his duty overseas during the S/I War to his
life in the United States, from the arrival of aliens on Earth to his
first encounter with the mysterious Augur, here for the first time is
the story behind mankind&#39;s ...",en,['Fiction']
0812545338,10,The Chosen Child,Graham Masterton,2002.0,Tor Books,http://images.amazon.com/images/P/0812545338.01.LZZZZZZZ.jpg,"In Warsaw to oversee the construction of a new hotel, executive Sarah
Leonard joins forces with Polish police detective Stefan Rej to
investigate a series of bizarre murders plaguing the construction
site, only to encounter a serial killer ...",en,['Fiction']
0812545346,0,Canyons,P. D. Cacek,2001.0,Tor Books,http://images.amazon.com/images/P/0812545346.01.LZZZZZZZ.jpg,"Lucius, the leader of the Denver werewolves, must fend off the
incursion of a rival pack into his territory, while trying not to fall
in love with the reporter determined to report on his highly civilized
pack.",en,['Fiction']
0812545370,9,Jitterbug : A Novel of Detroit (Detroit Series),Loren D. Estleman,2000.0,Forge Books,http://images.amazon.com/images/P/0812545370.01.LZZZZZZZ.jpg,"A tough town in a tough time: Detroit during World War II where the
U.S. furiously tried to outmanufacture the Germans and Japanese.",en,['Fiction']
0812545389,0,Thunder City : A Novel of Detroit (Detroit Series),Loren D. Estleman,2001.0,Forge Books,http://images.amazon.com/images/P/0812545389.01.LZZZZZZZ.jpg,"Thunder City presents Detroit in the process of becoming the Motor
City.",en,['Fiction']
0812545397,9,"The Shadow of Albion (Carolus Rex, Book 1)",Andre Norton,2000.0,Tor Fantasy,http://images.amazon.com/images/P/0812545397.01.LZZZZZZZ.jpg,"Most notable among these are collaborations with Mercedes Lackey, the
Halfblood Chronicles, as well as collaborations with A.C. Crispin (in
the Witch World series) and Sherwood Smith (in the Time Traders and
Solar Queen series).",en,['Fiction']
0812545400,3,"Leopard In Exile : Carolus Rex, Book II (Carolus Rex)",Andre Norton,2002.0,Tor Fantasy,http://images.amazon.com/images/P/0812545400.01.LZZZZZZZ.jpg,"Sarah, now the Duchess of Wessex, journeys to North America with her
new husband, the Duke--but this is no pleasure trip.",en,['Fiction']
0812545427,10,Dragon and Phoenix,Joanne Bertin,2000.0,Tor Books,http://images.amazon.com/images/P/0812545427.01.LZZZZZZZ.jpg,"Dragonlord Linden and Maurynna must travel to the land of Jehanglan to
free a Dragon whose magic is being used to hold a Phoenix.",en,['Fiction']
0812545443,0,O Pioneer!,Frederik Pohl,1999.0,Tor Books,http://images.amazon.com/images/P/0812545443.01.LZZZZZZZ.jpg,"A computer hacker who is able to instantly transport himself to the
planet Tupelo finds himself elected mayor of the human population and
mediator among a range of disparate species",en,['Fiction']
081254546X,7,"Something Borrowed, Something Black: A Peter Macklin Novel",Loren D. Estleman,2003.0,Forge Books,http://images.amazon.com/images/P/081254546X.01.LZZZZZZZ.jpg,"Professional killer Peter Macklin has been retired for more than two
years and is honeymooning with his dream woman, 21-year-old Laurie.
But the past has a way of catching up with people, and Macklin has a
lot of past.",en,['Fiction']
0812545478,5,Dawn Song,Michael Marano,1999.0,Tor Books,http://images.amazon.com/images/P/0812545478.01.LZZZZZZZ.jpg,"Dawn Song is a darkly erotic exploration of supernatural evil in very
human circumstances.",en,['Fiction']
0812545540,7,"Screwtop/the Girl Who Was Plugged in (Tor Double, No 7)",James Tiptree Jr.,1989.0,Tor Books,http://images.amazon.com/images/P/0812545540.01.LZZZZZZZ.jpg,"Two short novels deal with an alien prison camp and the remote
operator of a cyborg",en,['Fiction']
0812545583,5,Adiamante (Adiamante),L. E. Modesitt Jr.,1998.0,Tor Science Fiction,http://images.amazon.com/images/P/0812545583.01.LZZZZZZZ.jpg,"Devastated by war, industrial exploitation, and the collapse of their
interstellar empire, humans rebuild their society on the basis of
environmental conservation and non-aggression, which are quickly put
to the test by a fleet of ...",en,['Fiction']
0812545591,10,The Soprano Sorceress : The first book of 'The Spellsong Cycle' (Spellsong Cycle),L. E. Modesitt Jr.,1998.0,Tor Fantasy,http://images.amazon.com/images/P/0812545591.01.LZZZZZZZ.jpg,"When Anna Marshall is transported from her boring and frustrating life
in Ames, Iowa, to the very different world of Erde, she&#39;s angry
and confused, but soon finds out that for the first time in her life
she&#39;s uniquely powerful.",en,['Fiction']
0812545605,0,Timeshadow Rider,Ann Maxwell,1986.0,Tor Books (Mm),http://images.amazon.com/images/P/0812545605.01.LZZZZZZZ.jpg,"In order to save the planet Za&#39;arain from a deadly disease, Sharia
must break a long-standing tabu and join her powers with those of
Kane, who is in exile",en,['Fiction']
0812545702,0,Last War,Melisa C. Michaels,1986.0,Tor Books (Mm),http://images.amazon.com/images/P/0812545702.01.LZZZZZZZ.jpg,"During the Colonial War, all that stands between the defeat of the
Colonials and the Earthers is a ragged, makeshift fleet and the
Skyrider",en,['Fiction']
0812545745,0,Skirmish (Skyrider Vol 1),Melisa C. Michaels,1987.0,Tor Books,http://images.amazon.com/images/P/0812545745.01.LZZZZZZZ.jpg,"The Earth Company recruits Melacha Rendell, an ace shuttle pilot, for
the rescue of a sabotaged Earth-Mars passenger liner--a mission
requiring a precision docking maneuver that has already killed two
pilots",en,['Fiction']
0812545818,0,Far Harbor,Melisa C. Michaels,1989.0,Tor Books,http://images.amazon.com/images/P/0812545818.01.LZZZZZZZ.jpg,"Convinced she has killed her abusive foster parents, a woman known as
Ugly Starling flees into the desert where a resistance movement
battles the Terran domination of the planet",en,['Fiction']
0812545842,0,The Ecologic Envoy (Ecolitan Matter),L. E. Modesitt Jr.,1986.0,Tor Science Fiction,http://images.amazon.com/images/P/0812545842.01.LZZZZZZZ.jpg,"A hidden cabal wants to fight the war again--even if, this time, the
entire galaxy dies. And only Nathaniel Whaler, the Ecologic Envoy, has
the power to stop the catastrophe.",en,['Fiction']
0812545958,8,Touched by the Gods (Tor Fantasy),Lawrence Watt-Evans,1998.0,Tor Books,http://images.amazon.com/images/P/0812545958.01.LZZZZZZZ.jpg,"When the baby Malledd is born to an ordinary family in a small country
town, the oracles name him the true chosen Champion of the Domdur
Empire.",en,['Fiction']
0812545982,0,The Fleet of Stars,Poul Anderson,1998.0,Tor Books,http://images.amazon.com/images/P/0812545982.01.LZZZZZZZ.jpg,"In a future when Earth&#39;s residents are dependent on technology and
ruled by machine intelligence, Anson Guthrie must embark on a journey
to save the last freedoms known to humankind",en,['Fiction']
0812545990,8,Starfarers,Poul Anderson,1999.0,Tor Books,http://images.amazon.com/images/P/0812545990.01.LZZZZZZZ.jpg,"The discovery of an alien civilization prompts the formation of an
investigative team of scientists who will only age a few years on the
journey, although 120,000 years will have passed on Earth before they
can return. Reprint.",en,['Fiction']
0812547098,0,Magic in Ithkar 3,Andre Norton,1989.0,Tor Books,http://images.amazon.com/images/P/0812547098.01.LZZZZZZZ.jpg,"Fifteen stories tell of a variety of visitors to the Ithkar Fair, who
have come in search of trade, gambling, religious experience, and
adventure",en,['Fiction']
081254725X,0,Wheel of Stars,Andre Norton,1991.0,Tor Books,http://images.amazon.com/images/P/081254725X.01.LZZZZZZZ.jpg,"The scion of an ancient family and a young woman tortured by bizarre
nightmares become involved in a monumental struggle between the forces
of good and evil.",en,['Science fiction']
0812547322,0,Here Abide Monsters,Andre Norton,1985.0,Tor Books,http://images.amazon.com/images/P/0812547322.01.LZZZZZZZ.jpg,"Two young people from the twentieth century become involved in a
struggle between good and evil forces when they stumble upon Avalon.",en,['Fiction']
0812547438,0,House of Shadows,Andre Norton,1987.0,Tor Books (Mm),http://images.amazon.com/images/P/0812547438.01.LZZZZZZZ.jpg,"Mike, Tucker, and Susan encounter restless ghosts from the past when
they stay in the old house that has been in the family since before
the Revolution.",en,['Fiction']
0812547578,5,Tales of the Witch World 1,Andre Norton,1989.0,Tor Books,http://images.amazon.com/images/P/0812547578.01.LZZZZZZZ.jpg,"A collaboration by seventeen authors using the land of Andre
́Norton&#39;s imagination known as Witch World. The adventures sweep
from the peaks of High Hallack to the far reaches of Estcarp.",en,['Fiction']
0812548051,10,"Wizard's First Rule (Sword of Truth, Book 1)",Terry Goodkind,1997.0,Tor Fantasy,http://images.amazon.com/images/P/0812548051.01.LZZZZZZZ.jpg,"An unearthly adversary descends on an idyllic fantasy world,
corrupting magic against good and slaughtering innocents, and only a
single man can stop him.",en,['Fiction']
0812548078,0,Blood Brothers,Steven Barnes,1997.0,Tor Science Fiction,http://images.amazon.com/images/P/0812548078.01.LZZZZZZZ.jpg,"Reissue. &quot;No doubt about it, the book is a page-
turner.&quot;-Booklist The shades of a dark and violent past have
reached out and taken the lives of the innocent. &quot;This is a hell
of a ride.",en,['Fiction']
0812548086,0,Iron Shadows,Steven Barnes,2000.0,Tor Books,http://images.amazon.com/images/P/0812548086.01.LZZZZZZZ.jpg,"Iron Shadows...an exciting, fast-paced thriller about a charismatic
cult with a dark underside, a riveting adventure filled with passion
and danger.",en,['Fiction']
0812548094,10,"Stone of Tears (Sword of Truth, Book 2)",Terry Goodkind,1996.0,Tor Fantasy,http://images.amazon.com/images/P/0812548094.01.LZZZZZZZ.jpg,"Richard Cypher embarks on a perilous journey to the Old World, where
he must learn to master his own magic powers and uncover the secrets
of his heritage",en,['Fiction']
0812548108,7,Earthbound,Richard Matheson,1995.0,Tor Books (Mm),http://images.amazon.com/images/P/0812548108.01.LZZZZZZZ.jpg,"Hoping to rekindle his troubled marriage at a lonely beachside
cottage, David is seduced by the mysterious Marianna who visits him
whenever Ellen is away and must learn about the secret she carries
from beyond the grave. Reprint.",en,['Fiction']
0812548132,8,Presumed Dead,Hugh Holton,1995.0,Forge,http://images.amazon.com/images/P/0812548132.01.LZZZZZZZ.jpg,"Tough Chicago cop Commander Larry Cole thinks he is prepared for
anything, until a drug bust goes sour, he learns of a series of
mysterious disappearences, and he falls for Edna, his new backup",en,['Fiction']
0812548159,0,The Only Thing to Fear,David Poyer,1996.0,Tor Books (Mm),http://images.amazon.com/images/P/0812548159.01.LZZZZZZZ.jpg,"In spring 1945, Navy lieutenant John Fitzgerald Kennedy is transferred
to President Roosevelt&#39;s personal staff to investigate an assassin
in the president&#39;s inner circle.",en,['Assassins']
0812548183,9,The Rainbow Trail,Zane Grey,1994.0,Tor Books (Mm),http://images.amazon.com/images/P/0812548183.01.LZZZZZZZ.jpg,"In the sequel to Riders of the Purple Sage, John Shefford rides into
Utah&#39;s valley to spring his lady love from prison, outrun the
posses, head off violent Indians, and blaze a trail across a trackless
wasteland. Reprint.",en,['Fiction']
0812548191,7,"The Furies (The Holdfast Chronicles, Book 3)",Suzy McKee Charnas,1995.0,Tor Books,http://images.amazon.com/images/P/0812548191.01.LZZZZZZZ.jpg,"In Book Two, Aldera the Runner lives in two worlds, both consisting
entirely of women. Now in Book Three, The Furies, Aldera the Conquere
leads an army back over the mountains, hoping to end the tyranny and
free the slaves she left behind.",en,['Fiction']
0812548221,9,Of Tangible Ghosts (Ghost trilogy),L. E. Modesitt Jr.,1995.0,Tor Books,http://images.amazon.com/images/P/0812548221.01.LZZZZZZZ.jpg,"The alternate universe novel of what might have been had political and
social consequences had ghosts actually existed.",en,['Fiction']
0812548248,8,The Death of Chaos (Saga of Recluce),L. E. Modesitt Jr.,1996.0,Tor Fantasy,http://images.amazon.com/images/P/0812548248.01.LZZZZZZZ.jpg,"Candar is being invaded and Lerris must become the greatest wizard of
all time--or see his whole world destroyed! This is the new fantasy
novel in the Recluse series, the long-awaited sequel to The Magic of
Recluse.",en,['Fiction']
0812548329,0,Too Long at the Dance,Mike Blakely,1998.0,Forge,http://images.amazon.com/images/P/0812548329.01.LZZZZZZZ.jpg,"Cowboy musician Caleb Holcomb and his sidekick, Kinchelo, become
embroiled in a family feud, Wyoming&#39;s Johnson County War, and an
Arapaho uprising as Caleb struggles to win the heart of his
brother&#39;s widow, Emilia",en,['Fiction']
0812548337,0,Comanche Dawn,Mike Blakely,1999.0,Forge,http://images.amazon.com/images/P/0812548337.01.LZZZZZZZ.jpg,"A novel on the Comanches, the first Indians of the Plains to take
advantage of the horse, brought by the Europeans.",en,['Fiction']
0812548345,5,Angry Moon,Terrill Lankford,1999.0,Tor Books (Mm),http://images.amazon.com/images/P/0812548345.01.LZZZZZZZ.jpg,"Legendary assassin Ry Caulder is burned out and wants to quit, but the
Mob will only let him out if he takes out an old friend and mentor,
Frederickson, but after Caulder agrees and does his job, the next day
he discovers that Frederickson ...",en,['Fiction']
0812548396,8,Stage Fright,Clare McNally,1995.0,Tor Books,http://images.amazon.com/images/P/0812548396.01.LZZZZZZZ.jpg,"Picking up the pieces of her life after a crazed psychopath brutally
murders her lover and best friend before committing suicide, theater
director Hayley suspects that the killer has returned from the grave
to claim her. Original.",en,['Fiction']
0812548418,10,Flying to Pieces,Dean Ing,1998.0,Tor Books,http://images.amazon.com/images/P/0812548418.01.LZZZZZZZ.jpg,"A group of former pilots exchanges stories and a hand-drawn map that
may lead to millions of dollars worth of Japanese warplanes hidden on
a tiny island in the Pacific, but they have to fly the fifty-year-old
planes back to cash in on their ...",en,['Fiction']
0812548426,8,Spooker,Dean Ing,1997.0,Tor Books,http://images.amazon.com/images/P/0812548426.01.LZZZZZZZ.jpg,Every deep-cover intelligence agent has a spooker.,en,['Fiction']
0812548450,0,Riders to Cibola,Norman Zollinger,1995.0,Forge,http://images.amazon.com/images/P/0812548450.01.LZZZZZZZ.jpg,"In this saga beginning in the days of Pancho Villa, Ignacio Ortiz, an
orphan and a runaway searching for his past, lives through eras of
intense change, including two world wars and the beginning of the
modern West.",en,['Fiction']
0812548485,8,The Interpreter,Robert Moss,1998.0,Tor Books (Mm),http://images.amazon.com/images/P/0812548485.01.LZZZZZZZ.jpg,"A novelization based on the true story of Conrad Weiser,
Pennsylvania&#39;s Indian agent during the French and Indian War,
chronicles the life and times of one of the greatest American
pioneers, set against the backdrop of the revolt of the ...",en,['Fiction']
0812548604,0,Silverhair the Wanderer,Diana Paxson,1986.0,Tor Books (Mm),http://images.amazon.com/images/P/0812548604.01.LZZZZZZZ.jpg,"Farin Harper, a Knight of Westria and now known only as Silverhair the
Wanderer, desperately searches for his sister and nephew who both
vanished without a trace",en,['Fiction']
